10000, 1.970000
11000, 2.000000
12000, 2.140000
13000, 2.590000
14000, 2.670000
15000, 2.880000
16000, 3.100000
17000, 3.330000
18000, 3.580000
19000, 3.880000
20000, 3.950000
21000, 4.240000
22000, 4.420000
23000, 4.610000
24000, 4.970000
25000, 5.140000
26000, 5.350000
27000, 5.500000
28000, 5.840000
29000, 6.290000
30000, 6.380000
31000, 6.670000
32000, 6.880000
33000, 7.220000
34000, 7.390000
35000, 7.600000
36000, 8.030000
37000, 8.210000
38000, 8.360000
39000, 8.660000
40000, 8.850000
41000, 9.220000
42000, 9.560000
43000, 9.820000
44000, 9.980000
45000, 10.290000
46000, 10.660000
47000, 10.700000
48000, 11.330000
49000, 11.480000
50000, 11.590000
51000, 11.900000
52000, 12.230000
53000, 12.540000
54000, 12.740000
55000, 13.190000
56000, 13.500000
57000, 13.740000
58000, 14.050000
59000, 14.260000
